zipcode,streetAddress,homeStatus,homeType,latitude,longitude,yearBuilt,lotAreaValue,lotAreaUnits,livingAreaValue,livingAreaUnitsShort,garageParkingCapacity,bedrooms,bathrooms,bathroomsFull,stories,flooring,foundationDetails,heating,cooling,fireplaceFeatures,sewer,roofType,taxAssessedValue,zestimate,rentZestimate,sold-history,pricePerSquareFoot,price,currency,Unnamed: 30
91405,7061 Kester Ave APT F,FOR_SALE,TOWNHOUSE,34.19922,-118.457954,1981.0,0.5237832874196511,Acres,1585.0,sqft,2.0,2.0,3.0,3.0,3.0,,[],['Central'],['Central Air'],['Living Room'],"['Public Sewer', 'Sewer Paid']",,,548700.0,3697.0,"[('1996-12-23', 69909), ('1996-05-21', 80000)]",328.0,519900,USD,
91356,18433 Hatteras St UNIT 506,PENDING,CONDO,34.17814,-118.53487,1979.0,2.002,Acres,1147.0,sqft,0.0,2.0,2.0,2.0,1.0,,[],['Central'],['Central Air'],['Living Room'],['Public Sewer'],,,500700.0,2898.0,"[('2000-05-09', 95000)]",436.0,499900,USD,
90062,1552 W Vernon Ave,FOR_SALE,SINGLE_FAMILY,34.003426,-118.30534,1920.0,5871.888,Square Feet,1774.0,sqft,,4.0,2.0,2.0,1.0,['Laminate'],[],['Central'],['Central Air'],['Decorative'],,,,977000.0,4337.0,[],519.0,920000,USD,
90011,1516 E 50th St,PENDING,SINGLE_FAMILY,33.997246,-118.2471,1905.0,5402.0,Square Feet,832.0,sqft,0.0,1.0,1.0,1.0,1.0,,[],,['None'],['None'],['Public Sewer'],,,588900.0,2227.0,"[('2004-01-30', 180000)]",691.0,575000,USD,
91601,5143 Bakman Ave APT 412,FOR_RENT,APARTMENT,34.164078,-118.37786,,,sqft,636.0,sqft,,1.0,1.0,1.0,,['Hardwood'],,['Forced Air'],['Central Air'],,,,,410100.0,2284.0,"[('2021-10-29', 400000), ('2005-09-23', 330000), ('2003-02-07', 166000)]",4.0,2300,USD,
90001,722 E 80th St,FOR_SALE,SINGLE_FAMILY,33.966232,-118.262115,1928.0,5100.0,Square Feet,1435.0,sqft,2.0,3.0,2.0,2.0,1.0,,[],,['Central Air'],['Master Bedroom'],['Public Sewer'],,,,3536.0,"[('2017-12-07', 370000)]",467.0,670000,USD,
90015,645 W 9th St APT 401,FOR_RENT,CONDO,34.045834,-118.26061,2006.0,,sqft,700.0,sqft,,1.0,1.0,1.0,7.0,"['Hardwood', 'Tile']",,['Central'],"['Central Air', 'Ceiling Fan']",,,,,440600.0,2600.0,"[('2017-05-12', 455000), ('2010-09-16', 275000), ('2008-04-04', 393500)]",4.0,2500,USD,
91367,5530 Owensmouth Ave APT 315,FOR_RENT,APARTMENT,34.170834,-118.60023,,,sqft,740.0,sqft,,1.0,1.0,1.0,,,,['Forced Air'],['Central Air'],,,,,445300.0,2320.0,"[('2022-08-22', 435000), ('2018-06-11', 368000), ('2013-07-22', 260000), ('2012-04-27', 185000), ('2006-07-31', 350000)]",3.0,2400,USD,
90047,8211 S Denker Ave,FOR_SALE,SINGLE_FAMILY,33.964214,-118.304825,1924.0,3035.0,Square Feet,952.0,sqft,1.0,3.0,1.0,1.0,1.0,,[],,['None'],['None'],['Public Sewer'],,,661200.0,3055.0,"[('2009-09-09', 85000)]",662.0,629999,USD,
90293,8163 Redlands St APT 73,FOR_SALE,CONDO,33.956455,-118.438194,1973.0,0.7644398530762168,Acres,636.0,sqft,1.0,1.0,1.0,1.0,3.0,,[],,['None'],['Living Room'],['Public Sewer'],,,545700.0,2616.0,"[('2021-07-19', 430000), ('1996-07-30', 80000), ('1996-03-08', 66500), ('1995-06-28', 75000)]",816.0,519000,USD,
90003,324 W 88th St,PENDING,SINGLE_FAMILY,33.95719,-118.279175,1929.0,3604.0,Square Feet,1299.0,sqft,2.0,2.0,1.0,1.0,1.0,,[],,['Gas'],['None'],['Public Sewer'],,,656400.0,3111.0,"[('2004-05-28', 205000), ('2002-06-11', 147000)]",481.0,625000,USD,
90501,1444 W 227th St APT 3,FOR_SALE,CONDO,33.819836,-118.303085,1982.0,0.4961,Acres,1188.0,sqft,,3.0,3.0,2.0,,['Vinyl Plank'],[],['Central'],['None'],['None'],,,,636600.0,3412.0,[],462.0,549000,USD,
91352,8601 Sunland Blvd UNIT 3,FOR_SALE,TOWNHOUSE,34.22625,-118.3665,1983.0,,sqft,1208.0,sqft,2.0,3.0,2.0,1.0,2.0,['Vinyl'],[],['Central'],['Central Air'],['None'],['Public Sewer'],,,645400.0,3249.0,"[('2018-12-24', 393000), ('2008-07-30', 230000), ('2008-01-29', 276148), ('2000-10-31', 120000), ('1996-10-31', 68000), ('1996-07-01', 67000)]",497.0,599900,USD,
91364,20919 De La Guerra St,FOR_SALE,SINGLE_FAMILY,34.164093,-118.58913,1953.0,6249.0,Square Feet,1449.0,sqft,2.0,3.0,2.0,2.0,1.0,,[],,['Central Air'],['None'],['Public Sewer'],,,942200.0,4920.0,"[('1997-12-31', 245500), ('1997-03-25', 215000)]",621.0,900000,USD,
90047,1960 W 64th St,FOR_SALE,SINGLE_FAMILY,33.98117,-118.31317,1925.0,5093.0,Square Feet,1127.0,sqft,3.0,2.0,1.0,1.0,1.0,"['Laminate', 'Wood']",[],['Central'],"['None', 'Gas']","['Living Room', 'Wood Burning']",['Public Sewer'],Composition,,730400.0,3234.0,"[('2003-01-29', 176500), ('1999-01-06', 125000), ('1998-05-01', 92000), ('1998-01-28', 96600)]",620.0,699000,USD,
90012,800 W 1st St APT 2407,FOR_RENT,CONDO,34.056126,-118.25182,1968.0,,sqft,762.0,sqft,,1.0,1.0,1.0,32.0,['Hardwood'],,['Central'],['Central Air'],,,,,540700.0,2573.0,"[('2019-03-12', 465000), ('2018-07-19', 25200), ('2002-07-23', 200000), ('1999-07-29', 133000), ('1998-05-20', 108000)]",4.0,2800,USD,
90059,1766 E 113th St,PRE_FORECLOSURE,SINGLE_FAMILY,33.9318,-118.2418,1991.0,3428.0,Square Feet,1330.0,sqft,1.0,4.0,3.0,3.0,1.0,,['Slab'],['Wall Furnace'],['None'],['None'],['Public Sewer'],,,544600.0,3599.0,"[('2013-07-30', 245000), ('2013-01-10', 140000), ('2006-10-17', 388000), ('2006-04-06', 278100), ('2004-12-23', 262000), ('2003-12-08', 200000), ('2002-05-28', 95000), ('2001-06-05', 163384), ('1999-12-30', 150000)]",409.0,544600,USD,
90013,460 S Spring St APT 616,FOR_SALE,CONDO,34.04748,-118.24904,1912.0,0.707,Acres,820.0,sqft,,1.0,1.0,1.0,14.0,"['Hardwood', 'Tile']",[],['Central'],['Central Air'],['None'],,,,534000.0,2450.0,"[('2018-05-19', 2550), ('2015-11-17', 618000), ('2010-06-08', 365000)]",652.0,535000,USD,
91367,5550 Owensmouth Ave APT 204,FOR_RENT,CONDO,34.172215,-118.60107,1987.0,,sqft,920.0,sqft,,2.0,2.0,2.0,1.0,,,"['Central', 'Fireplace']",['Central Air'],,,,,544500.0,2966.0,"[('2022-07-08', 524955), ('2021-12-23', 487987), ('2016-11-29', 397000), ('2014-06-24', 355000), ('2009-10-02', 285000)]",3.0,2850,USD,
90731,564 W 13th St APT F,FOR_SALE,CONDO,33.732685,-118.289246,1992.0,8960.292,Square Feet,1124.0,sqft,2.0,2.0,3.0,2.0,2.0,"['Carpet', 'Laminate']",[],['Natural Gas'],['None'],['Gas'],,,,589200.0,2949.0,"[('2022-05-19', 505000), ('2022-03-16', 312000)]",517.0,581000,USD,
90744,1145 Cary Ave,FOR_SALE,SINGLE_FAMILY,33.786472,-118.25772,1958.0,4841.0,Square Feet,1414.0,sqft,2.0,4.0,3.0,2.0,1.0,,[],,['Wall/Window Unit(s)'],['None'],['Public Sewer'],,,710100.0,4227.0,[],487.0,688000,USD,
91367,5510 Owensmouth Ave APT 221,FOR_RENT,CONDO,34.17148,-118.60132,1987.0,,sqft,1020.0,sqft,,3.0,2.0,2.0,3.0,,,"['Central', 'Fireplace']",['Central Air'],,,,,576800.0,3331.0,"[('2016-04-29', 408000), ('2012-04-19', 260000), ('2005-10-05', 440500)]",3.0,3350,USD,
90003,139 E 83rd St,PRE_FORECLOSURE,SINGLE_FAMILY,33.963963,-118.27248,1927.0,4713.0,Square Feet,1095.0,sqft,0.0,3.0,2.0,2.0,1.0,,[],['Wall Furnace'],['None'],['Living Room'],['Public Sewer'],,,587800.0,3200.0,[],537.0,587800,USD,
90031,3526 Sierra St,PRE_FORECLOSURE,SINGLE_FAMILY,34.0861,-118.19969,1923.0,4998.0,Square Feet,986.0,sqft,0.0,3.0,2.0,,1.0,"['Laminate', 'Tile']",[],['Central'],['Central Air'],['None'],['Public Sewer'],,,580300.0,3614.0,[],589.0,580300,USD,
91367,21450 Burbank Blvd APT 317,FOR_RENT,APARTMENT,34.172195,-118.59827,,,sqft,1050.0,sqft,,2.0,2.0,2.0,,['Hardwood'],,['Forced Air'],['Central Air'],,,,,580300.0,2949.0,"[('2020-08-14', 465000), ('2016-12-13', 415000), ('2015-08-14', 400000), ('2012-10-12', 310000)]",3.0,3295,USD,
90047,8807 Cimarron St,FOR_SALE,SINGLE_FAMILY,33.957798,-118.31643,1941.0,5430.0,Square Feet,1035.0,sqft,2.0,2.0,1.0,1.0,1.0,,[],,['Gas'],['Living Room'],['Public Sewer'],,,723600.0,3170.0,[],671.0,694900,USD,
90049,11750 W Sunset Blvd APT 106,FOR_RENT,APARTMENT,34.06376,-118.47115,,,sqft,700.0,sqft,,1.0,1.0,1.0,,,,['Forced Air'],['Central Air'],,,,,599400.0,2966.0,"[('2017-09-22', 515000), ('2005-10-21', 430000), ('2003-01-10', 237000), ('1999-08-12', 132000)]",4.0,2900,USD,
90047,1423 W 65th St,FOR_SALE,MULTI_FAMILY,33.980846,-118.301056,1930.0,4763.0,Square Feet,1541.0,sqft,2.0,3.0,3.0,,1.0,['Laminate'],[],['Wall Furnace'],,['Living Room'],['Public Sewer'],Shingle,,,3693.0,"[('2017-01-05', 355000), ('2015-02-17', 347057)]",584.0,899900,USD,
91607,5307 Wilkinson Ave UNIT 6A,PENDING,CONDO,34.16697,-118.40468,1978.0,0.7922865013774105,Acres,1599.0,sqft,2.0,3.0,3.0,3.0,2.0,,[],['Central'],['Central Air'],"['Den', 'Gas']",['Public Sewer'],,,898100.0,4139.0,[],532.0,850000,USD,
90008,4771 Don Ricardo Dr #18,FOR_SALE,TOWNHOUSE,34.00797,-118.345634,1965.0,0.3440771349862259,Acres,1833.0,sqft,,3.0,3.0,1.0,,['Carpet'],[],"['Forced air', 'Wall', 'Electric']",['None'],,['In Street'],Tile,,,4740.0,"[('2003-10-29', 250000)]",436.0,799000,USD,
91601,4821 Riverton Ave APT 2,FOR_SALE,TOWNHOUSE,34.158215,-118.3662,1981.0,6904.0,Square Feet,1268.0,sqft,2.0,2.0,3.0,1.0,3.0,['Vinyl'],[],['Central'],['Central Air'],['Family Room'],['Public Sewer'],,,837300.0,3333.0,[],631.0,799900,USD,
90011,1462 E 57th St,FOR_SALE,MULTI_FAMILY,33.990864,-118.248436,1940.0,5423.0,Square Feet,1564.0,sqft,2.0,5.0,2.0,,1.0,,[],,,,['Public Sewer'],,,667600.0,3679.0,"[('2000-12-14', 125000)]",409.0,640000,USD,
91402,7810 Hazeltine Ave,PENDING,SINGLE_FAMILY,34.21252,-118.43876,1949.0,5942.0,Square Feet,1386.0,sqft,1.0,3.0,2.0,2.0,1.0,,[],,['None'],['None'],['Public Sewer'],,,743800.0,3798.0,[],505.0,699900,USD,
91335,19234 Hamlin St UNIT 5,FOR_RENT,TOWNHOUSE,34.188877,-118.55202,1975.0,,sqft,1269.0,sqft,,3.0,2.0,2.0,2.0,['Wood'],,['Central'],['Central Air'],,,,,637000.0,3495.0,[],4.0,4500,USD,
90293,8180 Manitoba St APT 138,FOR_SALE,CONDO,33.95442,-118.43774,1981.0,4.637,Acres,1301.0,sqft,2.0,2.0,2.0,2.0,1.0,['Vinyl Plank'],[],['Central'],['Central Air'],['Living Room'],,,,929500.0,3914.0,[],688.0,895000,USD,
90041,1832 Oak Tree Dr APT 15,FOR_SALE,TOWNHOUSE,34.136612,-118.20704,1981.0,1.391,Acres,1465.0,sqft,2.0,2.0,3.0,1.0,,['See Remarks'],[],['Central'],['Central Air'],['Living Room'],['Public Sewer'],,,992500.0,3892.0,[],601.0,879900,USD,
91342,12235 Pinney St,FOR_SALE,SINGLE_FAMILY,34.2849,-118.39968,1964.0,7576.0,Square Feet,1778.0,sqft,0.0,5.0,3.0,3.0,1.0,['Vinyl'],[],['Central'],['Central Air'],['None'],['Public Sewer'],Shingle,,1007500.0,3776.0,[],539.0,959000,USD,
90011,4300 Lima St,FOR_RENT,APARTMENT,34.005558,-118.24595,,,sqft,,,,2.0,1.0,1.0,,,,,,,,,,621100.0,2741.0,"[('2023-09-20', 440000)]",,2600,USD,
91335,19031 Hamlin St UNIT 8,PENDING,CONDO,34.189,-118.548386,1977.0,5.4251,Acres,1156.0,sqft,2.0,3.0,2.0,2.0,1.0,['Laminate'],[],['Natural Gas'],['None'],['None'],,,,674100.0,3099.0,"[('2020-01-27', 465000), ('2018-05-18', 465000), ('1997-09-26', 90000)]",577.0,667000,USD,
91406,7452 Dempsey Ave,FOR_RENT,SINGLE_FAMILY,34.206337,-118.47579,1949.0,,sqft,999.0,sqft,,3.0,1.0,1.0,1.0,['Laminate'],,"['Solar', 'Central', 'Fireplace']",['Central Air'],,,Shake Shingle,,674100.0,3482.0,"[('2001-09-28', 185000)]",4.0,3650,USD,
91356,18743 Hatteras St UNIT 6,FOR_SALE,TOWNHOUSE,34.177887,-118.5423,1981.0,4.0018,Acres,1465.0,sqft,2.0,2.0,3.0,2.0,2.0,['Carpet'],[],['Natural Gas'],['None'],['Gas'],,,,717800.0,3610.0,"[('2011-03-01', 267000)]",496.0,726000,USD,
91605,12345 Cohasset St,FOR_SALE,SINGLE_FAMILY,34.207363,-118.400955,1979.0,7.0869,Acres,1334.0,sqft,2.0,3.0,2.0,,2.0,['Wood'],[],['Central'],['Central Air'],['Family Room'],['Public Sewer'],,,894900.0,3300.0,"[('1996-10-25', 156000)]",637.0,850000,USD,
90061,11815 Avalon Blvd,PENDING,MULTI_FAMILY,33.92593,-118.26551,1917.0,7765.0,Square Feet,2346.0,sqft,0.0,4.0,4.0,,,['Wood'],[],,,['None'],['Public Sewer'],,,690900.0,3240.0,"[('2020-08-31', 600000), ('2018-09-13', 580000), ('2018-02-02', 495000), ('1994-07-19', 153500)]",277.0,649000,USD,
90037,1231 W 46th St,PRE_FORECLOSURE,SINGLE_FAMILY,34.00194,-118.29706,1909.0,6552.0,Square Feet,1810.0,sqft,0.0,4.0,2.0,1.0,,"['Carpet', 'Tile']","['Raised', 'Basement']","['Central', 'Natural Gas', 'Forced Air']",['Central Air'],['Living Room'],['Public Sewer'],"Composition,Shingle",,669700.0,4464.0,"[('2018-11-16', 991000)]",370.0,669700,USD,
90032,5510 Templeton St,FOR_SALE,SINGLE_FAMILY,34.086086,-118.16197,1927.0,4800.312,Square Feet,1150.0,sqft,,3.0,1.0,1.0,1.0,['Vinyl Plank'],[],['Central'],['Central Air'],['Decorative'],,,,1051000.0,3134.0,"[('2013-02-25', 330000), ('2012-07-31', 180000), ('2002-08-15', 195000)]",826.0,949995,USD,
91402,8745 Hazeltine Ave,FOR_SALE,SINGLE_FAMILY,34.228905,-118.443405,1949.0,6011.28,Square Feet,1140.0,sqft,2.0,3.0,2.0,2.0,1.0,['Hardwood'],[],['Natural Gas'],['None'],['None'],,,,775800.0,3834.0,"[('2013-11-26', 385000), ('2013-08-26', 250500)]",695.0,792000,USD,
91316,17807 Bullock St,FOR_SALE,SINGLE_FAMILY,34.179943,-118.52078,1949.0,5496.0,Square Feet,1481.0,sqft,1.0,3.0,2.0,2.0,1.0,,[],['Central'],['Central Air'],['None'],['Public Sewer'],,,1269700.0,4464.0,"[('1999-12-10', 209000), ('1997-07-11', 105000)]",810.0,1199000,USD,
91316,5224 Zelzah Ave UNIT 309,FOR_SALE,CONDO,34.166092,-118.52153,1990.0,0.49777318640955,Acres,1574.0,sqft,2.0,2.0,3.0,2.0,2.0,['Wood'],[],"['Central', 'Fireplace(s)']",['Central Air'],"['Family Room', 'Master Bedroom']",['Public Sewer'],,,702900.0,3898.0,"[('1996-03-28', 725454)]",438.0,690000,USD,
90066,4350 Berryman Ave APT 4,FOR_RENT,APARTMENT,34.000996,-118.41464,,,sqft,938.0,sqft,,2.0,2.0,2.0,,['Hardwood'],,['Wall Furnace'],['Central Air'],,,,,682500.0,3399.0,[],2.0,1700,USD,
90047,10012 S Gramercy Pl,FOR_SALE,SINGLE_FAMILY,33.944897,-118.31305,1949.0,6534.0,Square Feet,1198.0,sqft,,2.0,1.0,,,,[],,,,,,,,3195.0,"[('2021-08-06', 730000), ('2021-04-01', 545000)]",0.0,0,USD,
90043,3955 W 64th St,PRE_FORECLOSURE,SINGLE_FAMILY,33.981915,-118.34314,1941.0,,sqft,1107.0,sqft,2.0,3.0,1.0,1.0,1.0,,[],"['Fireplace(s)', 'Wood']",,,,Tile,,702800.0,3884.0,[],635.0,702800,USD,
91352,7907 Satsuma Ave,PENDING,SINGLE_FAMILY,34.214176,-118.36738,1944.0,7698.0,Square Feet,1499.0,sqft,1.0,3.0,2.0,2.0,1.0,,[],,['See Remarks'],['See Remarks'],['Public Sewer'],,,953900.0,4200.0,"[('2020-06-12', 525000)]",600.0,899000,USD,
91344,16652 Lahey St,FOR_SALE,SINGLE_FAMILY,34.27265,-118.49536,1955.0,7330.0,Square Feet,1352.0,sqft,2.0,4.0,2.0,2.0,1.0,,[],['Central'],['Central Air'],['Living Room'],['Public Sewer'],,,,3896.0,"[('1994-10-26', 146000), ('1994-06-13', 114000)]",732.0,989000,USD,
90744,321 W F St,FOR_RENT,SINGLE_FAMILY,33.77712,-118.26559,,,sqft,872.0,sqft,,3.0,1.0,1.0,,,,,['Wall Unit'],,,,,700200.0,2998.0,[],4.0,3400,USD,
90049,11630 Bellagio Rd,FOR_SALE,SINGLE_FAMILY,34.076447,-118.46652,1940.0,0.621900826446281,Acres,3201.0,sqft,1.0,6.0,5.0,4.0,2.0,"['Tile', 'Wood']",[],['Central'],['Central Air'],"['Family Room', 'Living Room', 'Gas']",['Unknown'],,,,14322.0,"[('2022-09-23', 3300000), ('2015-01-28', 2370000)]",1062.0,3400000,USD,
90038,6512 Barton Ave,FOR_SALE,SINGLE_FAMILY,34.08755,-118.33366,1921.0,3380.256,Square Feet,1636.0,sqft,,3.0,3.0,1.0,1.0,['Other'],[],['None'],['None'],['None'],,,,878200.0,5500.0,"[('2023-12-28', 625000)]",547.0,895000,USD,
91316,4949 Genesta Ave UNIT 407,FOR_SALE,CONDO,34.16119,-118.50386,1974.0,1.3608,Acres,2018.0,sqft,2.0,2.0,2.0,2.0,2.0,,[],['Central'],['Central Air'],['Living Room'],['Public Sewer'],,,,4984.0,[],405.0,817000,USD,
90011,483 E 49th St,FOR_SALE,MULTI_FAMILY,33.999084,-118.26671,1909.0,7418.268,Square Feet,4134.0,sqft,,,0.0,,,,[],['None'],['None'],,,,,,,"[('2021-06-03', 675000)]",200.0,825000,USD,
90024,1710 Malcolm Ave APT 105,PRE_FORECLOSURE,CONDO,34.051804,-118.43592,1973.0,0.3328741965105601,Acres,1280.0,sqft,2.0,2.0,2.0,2.0,3.0,['Vinyl'],[],['Fireplace(s)'],['Central Air'],['Living Room'],['Public Sewer'],Composition,,717100.0,4034.0,"[('1989-04-04', 232502)]",560.0,717100,USD,
91342,12608 De Foe Ave,PRE_FORECLOSURE,SINGLE_FAMILY,34.29919,-118.44353,1955.0,5401.0,Square Feet,1028.0,sqft,2.0,3.0,1.0,1.0,1.0,,[],['Wall Furnace'],['Central Air'],['None'],['Public Sewer'],Common Roof,,720500.0,3335.0,[],701.0,720500,USD,
91304,8434 Glassport Ave,PRE_FORECLOSURE,SINGLE_FAMILY,34.2232,-118.593895,1968.0,5609.0,Square Feet,1342.0,sqft,2.0,3.0,2.0,2.0,1.0,"['Laminate', 'Tile']",[],['Central'],['Central Air'],['Living Room'],['Public Sewer'],,,739800.0,3893.0,"[('2001-03-30', 234000), ('1998-12-09', 200000)]",551.0,739800,USD,
91342,13245 Klein Ct,FOR_RENT,TOWNHOUSE,34.30087,-118.42228,2017.0,,sqft,1920.0,sqft,,5.0,4.0,4.0,3.0,"['Tile', 'Wood']",,['Central'],['Central Air'],,,,,725400.0,4328.0,"[('2018-01-23', 484500)]",1.0,1000,USD,
91335,7523 Hesperia Ave,FOR_SALE,SINGLE_FAMILY,34.207253,-118.52655,1948.0,6503.508,Square Feet,1010.0,sqft,,3.0,1.0,1.0,1.0,"['Carpet', 'Linoleum', 'Ceramic Tile']",[],['Central'],['None'],['Living Room'],,,,711300.0,3499.0,[],692.0,699000,USD,
90062,1827 W 51st St,FORECLOSED,SINGLE_FAMILY,33.99724,-118.31234,1926.0,7509.0,Square Feet,2060.0,sqft,,4.0,2.0,2.0,,[],[],[],['None'],,,,,940800.0,4850.0,"[('2018-07-26', 600000), ('2017-11-14', 375000)]",457.0,940800,USD,
91303,22325 Covello St,FOR_SALE,SINGLE_FAMILY,34.20761,-118.61329,1956.0,7108.0,Square Feet,1372.0,sqft,2.0,4.0,2.0,1.0,1.0,"['Carpet', 'Vinyl']",['Slab'],['Central'],['Central Air'],['Living Room'],['Public Sewer'],,,1028200.0,3995.0,[],725.0,995000,USD,
91406,6627 Whitman Ave,FOR_SALE,SINGLE_FAMILY,34.191048,-118.47653,1956.0,6833.0,Square Feet,1605.0,sqft,2.0,4.0,2.0,2.0,1.0,"['Tile', 'Vinyl', 'Wood']",['Raised'],['Central'],['Central Air'],['Living Room'],['Public Sewer'],Composition,,1037600.0,4640.0,[],621.0,997000,USD,
91042,10160 Fernglen Ave APT 5,PENDING,CONDO,34.2541,-118.294,2006.0,10240.956,Square Feet,1760.0,sqft,2.0,3.0,3.0,2.0,2.0,"['Carpet', 'Laminate', 'Tile', 'Other']",[],['Natural Gas'],['None'],['None'],,,,798900.0,4334.0,"[('2012-02-15', 293000), ('2011-07-14', 280000), ('2008-04-24', 427500), ('2007-07-06', 435000)]",457.0,805000,USD,
91344,17208 Kingsbury St,PENDING,SINGLE_FAMILY,34.26333,-118.50918,1946.0,5501.0,Square Feet,1016.0,sqft,1.0,2.0,2.0,2.0,1.0,"['Laminate', 'Tile', 'Vinyl']",[],['Central'],['Central Air'],['None'],"['Public Sewer', 'Sewer Paid']",,,,3095.0,[],827.0,840000,USD,
90047,2057 W 96th St,FOR_RENT,SINGLE_FAMILY,33.949314,-118.31538,,,sqft,1045.0,sqft,,3.0,1.0,1.0,,['Hardwood'],,['Wall Furnace'],['Ceiling Fan'],,,,,779900.0,3599.0,"[('2011-02-18', 240000), ('2010-06-01', 225250), ('2005-11-07', 449000), ('2005-07-12', 712000)]",4.0,4000,USD,
90042,4201 Via Marisol APT 136,FOR_RENT,APARTMENT,34.09706,-118.185036,,,sqft,1316.0,sqft,,2.0,2.0,2.0,,,,['Forced Air'],['Central Air'],,,,,762700.0,3900.0,"[('2012-09-26', 320000), ('2000-11-30', 180000), ('1993-12-16', 152000), ('1993-09-01', 152000)]",3.0,3695,USD,
